Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,1706.0,1709.1500244140625,1692.0,1698.0999755859375,1675.2239990234375,7119843
2024-01-02,1698.800048828125,1702.800048828125,1688.699951171875,1699.0999755859375,1676.2105712890625,14621046
2024-01-03,1702.0,1704.699951171875,1668.949951171875,1672.9000244140625,1650.363525390625,14194881
2024-01-04,1678.0,1694.949951171875,1670.699951171875,1690.8499755859375,1668.07177734375,13367028
2024-01-05,1687.1500244140625,1704.9000244140625,1668.0999755859375,1682.199951171875,1659.5382080078125,15944735
2024-01-08,1678.5,1682.3499755859375,1660.0,1663.449951171875,1641.040771484375,8999235
2024-01-09,1667.1500244140625,1677.800048828125,1646.75,1650.5,1628.2652587890625,12663444
2024-01-10,1643.0,1659.949951171875,1641.4000244140625,1655.949951171875,1633.641845703125,8057912
2024-01-11,1660.0,1662.9000244140625,1643.0,1649.0,1626.7855224609375,9157005
2024-01-12,1652.0,1656.0,1633.5999755859375,1641.199951171875,1619.090576171875,9886776
2024-01-15,1647.699951171875,1680.9000244140625,1643.5999755859375,1672.800048828125,1650.264892578125,14160178
2024-01-16,1673.0,1683.6500244140625,1658.0999755859375,1679.1500244140625,1656.5294189453125,12661250
2024-01-17,1570.0,1596.800048828125,1528.4000244140625,1537.5,1516.78759765625,85072618
2024-01-18,1494.0,1515.0,1480.050048828125,1486.1500244140625,1466.12939453125,80535465
2024-01-19,1505.949951171875,1510.25,1468.4000244140625,1470.6500244140625,1450.838134765625,54800269
2024-01-23,1465.0,1474.699951171875,1425.0,1427.3499755859375,1408.1214599609375,57734701
2024-01-24,1380.25,1458.449951171875,1380.25,1455.9000244140625,1436.286865234375,43002202
2024-01-25,1452.5,1457.3499755859375,1419.4000244140625,1434.9000244140625,1415.56982421875,49470926
2024-01-29,1448.050048828125,1462.800048828125,1445.800048828125,1454.6500244140625,1435.0537109375,32822749
2024-01-30,1454.550048828125,1463.199951171875,1440.9000244140625,1444.300048828125,1424.8431396484375,20864384
2024-01-31,1439.5,1474.949951171875,1436.800048828125,1462.550048828125,1442.8472900390625,32880520
2024-02-01,1465.050048828125,1473.5999755859375,1456.050048828125,1466.3499755859375,1446.5960693359375,16345370
